"Treatment","Fly","SecFirstSeen","FirstSeenY_mm","SecTo25","SecTo50","SecTo75","SecTo90","MaxY_mm","Sec3_mm","Sec6_mm","Sec9_mm","Sec12_mm","Sec15_mm","TotalYDist_mm","TotalUpDist_mm","AvgSpeed","AvgTop10Speed","TotalDist_mm","PercSleeping","PercWalking","PercMicroMoving","PercResting"
"A",1,0.13282555,3.2625,1.89064375,6.24216005,8.24215375,NA,61.5525,25.3605,37.7145,56.724,61.509,61.509,62.2485,61.9005,75.0887655171197,157.336557423958,64.0358537346,0,0.689620218948507,0.076249042663423,0.23413073838807
"B",2,0,4.959,2.3203221,5.41405025,8.64057505,9.5624428,60.465,17.8785,36.54,54.81,60.117,60.117,60.639,60.552,72.1915447725166,130.246107689063,62.35176974385,0,0.903973509933775,0.0827814569536424,0.0132450331125828
"C",3,2.8515598,8.526,5.0781314,2.2031454,3.9218721,5.3281507,36.6705,15.9645,28.101,34.713,36.4095,36.4095,38.1495,37.323,59.6776646794677,122.730930868571,39.3111017889,0,0.65175751400917,0.204890473764646,0.143352012226184
"A",4,0.20313405,10.179,4.19529835,1.1874901,2.2500243,3.1718573,35.931,27.231,32.016,35.3655,35.3655,35.3655,51.243,38.7585,63.7021526285161,219.445115639167,53.40076134585,0,0.405023978077187,0.196026490066225,0.398949531856588
"B",5,0,9.5265,0.99222175,2.6171836,4.28124445,6.24217095,61.8135,32.1465,56.3325,61.0305,61.0305,61.0305,68.295,63.771,83.4254347730795,192.7562313125,72.063725595,0,0.701986754966887,0.221854304635762,0.076158940397351
"C",6,0.0703319,4.785,2.11720145,4.61717475,6.937464,8.93747755,66.0765,19.0965,45.066,62.9445,65.7285,65.7285,66.5985,66.3375,78.8255949830766,141.503587605208,67.7278414581,0,0.883617049646651,0.076514511756078,0.039868438597271
"A",7,0.2343875,7.2645,1.4531384,3.21093695,5.5390702,7.2734548,63.7275,27.666,52.8525,62.8575,63.2925,63.2925,65.0325,64.2495,79.711064512093,173.105399725417,67.01549119575,0,0.767338116261957,0.122102649006623,0.11055923473142
"B",8,0,3.0015,3.01563555,5.5624901,8.499949,NA,48.2415,16.704,32.8425,45.3705,48.024,48.024,48.5895,48.372,58.7142531325497,119.559753633438,50.63210575335,0,0.781456953642384,0.0927152317880795,0.125827814569536
"C",9,0.6640856,5.4375,3.7109536,5.0312545,8.1562296,NA,46.4145,10.1355,28.884,43.8045,46.4145,46.4145,47.676,46.98,60.9558699942599,116.099810642768,49.80033124785,0,0.839416611900308,0.111976138718973,0.0486072493807189
"A",10,0,16.791,0.28908095,1.9922107,4.1484261,5.47656705,54.636,31.7985,48.1545,53.4615,53.4615,53.4615,81.78,55.5495,99.0814841659272,180.429079928125,85.75471102755,0,0.887417218543046,0.0397350993377483,0.0728476821192053
"B",11,0.39843455,8.2215,1.78907545,3.4453141,5.2109304,5.1093664,58.4205,24.3165,53.418,56.463,58.029,58.029,60.726,59.5515,75.4455596189387,178.120153998661,62.4618555288,0,0.596288532088237,0.131711849063795,0.271999618847968
"C",12,0,13.833,1.3984339,4.04688825,3.8437276,5.2968766,46.98,21.489,38.9325,44.4135,46.545,46.545,49.503,48.2415,60.4849586967219,131.629276675625,52.19857265625,0,0.764900662251656,0.122516556291391,0.112582781456954
"A",13,0,12.7455,0.9296982,2.68751405,5.44529705,7.40621565,58.0725,26.274,47.8935,57.507,57.507,57.507,62.814,60.3345,76.1786765939404,154.277961134375,65.71078113195,0,0.798013245033113,0.0728476821192053,0.129139072847682
"B",14,0.43751795,4.263,1.5781543,4.3124734,7.6250061,NA,35.8875,15.5295,26.448,33.234,35.8875,35.8875,37.497,36.5835,46.9907767479881,108.260924127411,39.8703372669,0,0.562961896535176,0.206401766004415,0.230636337460409
