ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
1,T_0,582,323,-145,-224,20019,2490218.915,Left,High,5/1/2023 13:50:02,343,0,1,One
2,T_0,1355,729,628,182,20019,2490218.915,Right,High,5/1/2023 13:50:02,343,0,1,One
3,T_0,510,754,-217,207,20019,2490218.915,Left,High,5/1/2023 13:50:02,343,0,1,One
4,T_0,162,818,-565,271,20019,2490218.915,Left,High,5/1/2023 13:50:02,343,0,1,One
5,T_0,518,820,-209,273,20019,2490218.915,Left,High,5/1/2023 13:50:02,343,0,1,One
1,T_0,584,325,-143,-222,20020,2490328.265,Left,High,5/1/2023 13:50:02,453,0,1,One
2,T_0,1355,729,628,182,20020,2490328.265,Right,High,5/1/2023 13:50:02,453,0,1,One
3,T_0,510,755,-217,208,20020,2490328.265,Left,High,5/1/2023 13:50:02,453,0,1,One
4,T_0,162,819,-565,272,20020,2490328.265,Left,High,5/1/2023 13:50:02,453,0,1,One
5,T_0,518,820,-209,273,20020,2490328.265,Left,High,5/1/2023 13:50:02,453,0,1,One
1,T_0,584,325,-143,-222,20021,2490437.626,Left,High,5/1/2023 13:50:02,562,0,1,One
2,T_0,1355,729,628,182,20021,2490437.626,Right,High,5/1/2023 13:50:02,562,0,1,One
3,T_0,510,754,-217,207,20021,2490437.626,Left,High,5/1/2023 13:50:02,562,0,1,One
4,T_0,162,819,-565,272,20021,2490437.626,Left,High,5/1/2023 13:50:02,562,0,1,One
5,T_0,518,820,-209,273,20021,2490437.626,Left,High,5/1/2023 13:50:02,562,0,1,One
1,T_0,583,326,-144,-221,20022,2490546.973,Left,High,5/1/2023 13:50:02,671,0,1,One
2,T_0,1354,729,627,182,20022,2490546.973,Right,High,5/1/2023 13:50:02,671,0,1,One
3,T_0,511,755,-216,208,20022,2490546.973,Left,High,5/1/2023 13:50:02,671,0,1,One
4,T_0,162,818,-565,271,20022,2490546.973,Left,High,5/1/2023 13:50:02,671,0,1,One
5,T_0,518,820,-209,273,20022,2490546.973,Left,High,5/1/2023 13:50:02,671,0,1,One
1,T_0,584,325,-143,-222,20023,2490656.311,Left,High,5/1/2023 13:50:02,781,0,1,One
2,T_0,1352,729,625,182,20023,2490656.311,Right,High,5/1/2023 13:50:02,781,0,1,One
3,T_0,510,754,-217,207,20023,2490656.311,Left,High,5/1/2023 13:50:02,781,0,1,One
4,T_0,162,819,-565,272,20023,2490656.311,Left,High,5/1/2023 13:50:02,781,0,1,One
5,T_0,518,820,-209,273,20023,2490656.311,Left,High,5/1/2023 13:50:02,781,0,1,One
1,T_0,585,327,-142,-220,20024,2490765.659,Left,High,5/1/2023 13:50:02,890,0,1,One
2,T_0,1352,728,625,181,20024,2490765.659,Right,High,5/1/2023 13:50:02,890,0,1,One
3,T_0,510,754,-217,207,20024,2490765.659,Left,High,5/1/2023 13:50:02,890,0,1,One
4,T_0,162,818,-565,271,20024,2490765.659,Left,High,5/1/2023 13:50:02,890,0,1,One
5,T_0,518,820,-209,273,20024,2490765.659,Left,High,5/1/2023 13:50:02,890,0,1,One
1,T_0,585,329,-142,-218,20025,2490875.012,Left,High,5/1/2023 13:50:02,999,0,1,One
2,T_0,1352,729,625,182,20025,2490875.012,Right,High,5/1/2023 13:50:02,999,0,1,One
3,T_0,511,754,-216,207,20025,2490875.012,Left,High,5/1/2023 13:50:02,999,0,1,One
4,T_0,162,819,-565,272,20025,2490875.012,Left,High,5/1/2023 13:50:02,999,0,1,One
5,T_0,518,820,-209,273,20025,2490875.012,Left,High,5/1/2023 13:50:02,999,0,1,One
1,T_0,585,331,-142,-216,20026,2490984.36,Left,High,5/1/2023 13:50:03,109,0,1,One
2,T_0,1352,728,625,181,20026,2490984.36,Right,High,5/1/2023 13:50:03,109,0,1,One
3,T_0,511,755,-216,208,20026,2490984.36,Left,High,5/1/2023 13:50:03,109,0,1,One
4,T_0,162,819,-565,272,20026,2490984.36,Left,High,5/1/2023 13:50:03,109,0,1,One
5,T_0,518,820,-209,273,20026,2490984.36,Left,High,5/1/2023 13:50:03,109,0,1,One
1,T_0,587,332,-140,-215,20027,2491093.645,Left,High,5/1/2023 13:50:03,218,0,1,One
2,T_0,1352,729,625,182,20027,2491093.645,Right,High,5/1/2023 13:50:03,218,0,1,One
3,T_0,511,755,-216,208,20027,2491093.645,Left,High,5/1/2023 13:50:03,218,0,1,One
4,T_0,162,819,-565,272,20027,2491093.645,Left,High,5/1/2023 13:50:03,218,0,1,One
5,T_0,518,820,-209,273,20027,2491093.645,Left,High,5/1/2023 13:50:03,218,0,1,One
1,T_0,587,333,-140,-214,20028,2491203.06,Left,High,5/1/2023 13:50:03,327,0,1,One
2,T_0,1352,729,625,182,20028,2491203.06,Right,High,5/1/2023 13:50:03,327,0,1,One
3,T_0,510,754,-217,207,20028,2491203.06,Left,High,5/1/2023 13:50:03,327,0,1,One
4,T_0,162,818,-565,271,20028,2491203.06,Left,High,5/1/2023 13:50:03,327,0,1,One
5,T_0,518,820,-209,273,20028,2491203.06,Left,High,5/1/2023 13:50:03,327,0,1,One
1,T_0,587,335,-140,-212,20029,2491312.408,Left,High,5/1/2023 13:50:03,437,0,1,One
2,T_0,1352,729,625,182,20029,2491312.408,Right,High,5/1/2023 13:50:03,437,0,1,One
3,T_0,511,755,-216,208,20029,2491312.408,Left,High,5/1/2023 13:50:03,437,0,1,One
